"time","high","low","open","close","volume"
"2019-04-11T09:33:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,0
"2019-04-11T09:34:00+08:00",,,,,
"2019-04-11T09:35:00+08:00",,,,,
"2019-04-11T09:36:00+08:00",,,,,
"2019-04-11T09:37:00+08:00",,,,,
"2019-04-11T09:38:00+08:00",,,,,
"2019-04-11T09:39:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,27000
"2019-04-11T09:40:00+08:00",,,,,
"2019-04-11T09:41:00+08:00",,,,,
"2019-04-11T09:42:00+08:00",,,,,
"2019-04-11T09:43:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,6000
"2019-04-11T09:44:00+08:00",,,,,
"2019-04-11T09:45:00+08:00",0.75,0.75,0.75,0.75,381000
"2019-04-11T09:46:00+08:00",0.75,0.75,0.75,0.75,81000
"2019-04-11T09:47:00+08:00",0.75,0.75,0.75,0.75,100000
"2019-04-11T09:48:00+08:00",,,,,
"2019-04-11T09:49:00+08:00",,,,,
"2019-04-11T09:50:00+08:00",,,,,
"2019-04-11T09:51:00+08:00",,,,,
"2019-04-11T09:52:00+08:00",,,,,
"2019-04-11T09:53:00+08:00",,,,,
"2019-04-11T09:54:00+08:00",,,,,
"2019-04-11T09:55:00+08:00",,,,,
"2019-04-11T09:56:00+08:00",,,,,
"2019-04-11T09:57:00+08:00",,,,,
"2019-04-11T09:58:00+08:00",,,,,
"2019-04-11T09:59:00+08:00",,,,,
"2019-04-11T10:00:00+08:00",,,,,
"2019-04-11T10:01:00+08:00",,,,,
"2019-04-11T10:02:00+08:00",,,,,
"2019-04-11T10:03:00+08:00",,,,,
"2019-04-11T10:04:00+08:00",,,,,
"2019-04-11T10:05:00+08:00",,,,,
"2019-04-11T10:06:00+08:00",,,,,
"2019-04-11T10:07:00+08:00",,,,,
"2019-04-11T10:08:00+08:00",,,,,
"2019-04-11T10:09:00+08:00",,,,,
"2019-04-11T10:10:00+08:00",0.75,0.75,0.75,0.75,1515000
"2019-04-11T10:11:00+08:00",0.7400000095367432,0.7400000095367432,0.7400000095367432,0.7400000095367432,166000
"2019-04-11T10:12:00+08:00",,,,,
"2019-04-11T10:13:00+08:00",,,,,
"2019-04-11T10:14:00+08:00",,,,,
"2019-04-11T10:15:00+08:00",,,,,
"2019-04-11T10:16:00+08:00",,,,,
"2019-04-11T10:17:00+08:00",,,,,
"2019-04-11T10:18:00+08:00",,,,,
"2019-04-11T10:19:00+08:00",,,,,
"2019-04-11T10:20:00+08:00",,,,,
"2019-04-11T10:21:00+08:00",,,,,
"2019-04-11T10:22:00+08:00",,,,,
"2019-04-11T10:23:00+08:00",,,,,
"2019-04-11T10:24:00+08:00",0.75,0.75,0.75,0.75,157000
"2019-04-11T10:25:00+08:00",0.75,0.75,0.75,0.75,40000
