"time","high","low","open","close","volume"
"2019-04-29T09:20:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:21:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:22:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:23:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:24:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:25:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:26:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:27:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:28:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:29:00+08:00",29730.85,29730.85,29730.85,29730.85,0
"2019-04-29T09:30:00+08:00",29730.849609375,29670.439453125,29730.849609375,29687.890625,0
"2019-04-29T09:31:00+08:00",29715.939453125,29676.1796875,29686.05078125,29711.970703125,0
"2019-04-29T09:32:00+08:00",29720.259765625,29702.44921875,29705.529296875,29705.060546875,0
"2019-04-29T09:33:00+08:00",29705,29674.029296875,29705,29692.33984375,0
"2019-04-29T09:34:00+08:00",29695.330078125,29668.05078125,29695.330078125,29668.05078125,0
"2019-04-29T09:35:00+08:00",29693.810546875,29650.23046875,29663.900390625,29693.810546875,0
"2019-04-29T09:36:00+08:00",29702.69921875,29691.220703125,29692.560546875,29697.380859375,0
"2019-04-29T09:37:00+08:00",29711.51953125,29694,29698.009765625,29708.380859375,0
"2019-04-29T09:38:00+08:00",29725.58984375,29710.1796875,29713.359375,29725.58984375,0
"2019-04-29T09:39:00+08:00",29722.91015625,29696.55078125,29722.91015625,29706.94921875,0
"2019-04-29T09:40:00+08:00",29719.029296875,29707.439453125,29707.439453125,29717.900390625,0
"2019-04-29T09:41:00+08:00",29717.7109375,29690.509765625,29717.490234375,29690.509765625,0
"2019-04-29T09:42:00+08:00",29689.599609375,29667.189453125,29689.599609375,29667.189453125,0
"2019-04-29T09:43:00+08:00",29669.630859375,29663.80078125,29667.51953125,29665.720703125,0
"2019-04-29T09:44:00+08:00",29669.6796875,29646.0703125,29665.9296875,29646.0703125,0
"2019-04-29T09:45:00+08:00",29658.650390625,29639.380859375,29644.990234375,29651.58984375,0
"2019-04-29T09:46:00+08:00",29655.41015625,29648.689453125,29650.650390625,29648.759765625,0
"2019-04-29T09:47:00+08:00",29656.140625,29642.2109375,29647.099609375,29653.76953125,0
"2019-04-29T09:48:00+08:00",29657.509765625,29643.369140625,29654.259765625,29647.490234375,0
"2019-04-29T09:49:00+08:00",29649.44921875,29641.0703125,29646.439453125,29644.970703125,0
"2019-04-29T09:50:00+08:00",29659.580078125,29642.060546875,29648.740234375,29654,0
"2019-04-29T09:51:00+08:00",29683.369140625,29656.859375,29656.859375,29679.740234375,0
"2019-04-29T09:52:00+08:00",29685.990234375,29678.94921875,29679.41015625,29680.83984375,0
"2019-04-29T09:53:00+08:00",29683.80078125,29669.390625,29681.240234375,29669.919921875,0
