"time","high","low","open","close","volume"
"2019-04-25T09:30:00+08:00",0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,0
"2019-04-25T09:31:00+08:00",,,,,
"2019-04-25T09:32:00+08:00",,,,,
"2019-04-25T09:33:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,179000
"2019-04-25T09:34:00+08:00",,,,,
"2019-04-25T09:35:00+08:00",,,,,
"2019-04-25T09:36:00+08:00",,,,,
"2019-04-25T09:37:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,3000
"2019-04-25T09:38:00+08:00",,,,,
"2019-04-25T09:39:00+08:00",,,,,
"2019-04-25T09:40:00+08:00",,,,,
"2019-04-25T09:41:00+08:00",,,,,
"2019-04-25T09:42:00+08:00",0.7599999904632568,0.75,0.7599999904632568,0.75,976000
"2019-04-25T09:43:00+08:00",,,,,
"2019-04-25T09:44:00+08:00",0.75,0.75,0.75,0.75,69000
"2019-04-25T09:45:00+08:00",,,,,
"2019-04-25T09:46:00+08:00",,,,,
"2019-04-25T09:47:00+08:00",,,,,
"2019-04-25T09:48:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,100000
"2019-04-25T09:49:00+08:00",,,,,
"2019-04-25T09:50:00+08:00",,,,,
"2019-04-25T09:51:00+08:00",,,,,
"2019-04-25T09:52:00+08:00",,,,,
"2019-04-25T09:53:00+08:00",,,,,
"2019-04-25T09:54:00+08:00",0.75,0.75,0.75,0.75,2000
"2019-04-25T09:55:00+08:00",,,,,
"2019-04-25T09:56:00+08:00",,,,,
"2019-04-25T09:57:00+08:00",,,,,
"2019-04-25T09:58:00+08:00",,,,,
"2019-04-25T09:59:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,1056000
"2019-04-25T10:00:00+08:00",,,,,
"2019-04-25T10:01:00+08:00",,,,,
"2019-04-25T10:02:00+08:00",,,,,
"2019-04-25T10:03:00+08:00",,,,,
"2019-04-25T10:04:00+08:00",,,,,
"2019-04-25T10:05:00+08:00",,,,,
"2019-04-25T10:06:00+08:00",,,,,
"2019-04-25T10:07:00+08:00",,,,,
"2019-04-25T10:08:00+08:00",,,,,
"2019-04-25T10:09:00+08:00",,,,,
"2019-04-25T10:10:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,80000
"2019-04-25T10:11:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,20000
"2019-04-25T10:12:00+08:00",,,,,
"2019-04-25T10:13:00+08:00",,,,,
"2019-04-25T10:14:00+08:00",,,,,
"2019-04-25T10:15:00+08:00",,,,,
"2019-04-25T10:16:00+08:00",,,,,
"2019-04-25T10:17:00+08:00",,,,,
"2019-04-25T10:18:00+08:00",,,,,
"2019-04-25T10:19:00+08:00",,,,,
"2019-04-25T10:20:00+08:00",,,,,
"2019-04-25T10:21:00+08:00",,,,,
"2019-04-25T10:22:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,1000000
"2019-04-25T10:23:00+08:00",,,,,
"2019-04-25T10:24:00+08:00",0.7699999809265137,0.7699999809265137,0.7699999809265137,0.7699999809265137,41000
"2019-04-25T10:25:00+08:00",,,,,
"2019-04-25T10:26:00+08:00",,,,,
"2019-04-25T10:27:00+08:00",,,,,
"2019-04-25T10:28:00+08:00",,,,,
"2019-04-25T10:29:00+08:00",,,,,
"2019-04-25T10:30:00+08:00",,,,,
"2019-04-25T10:31:00+08:00",,,,,
"2019-04-25T10:32:00+08:00",,,,,
"2019-04-25T10:33:00+08:00",,,,,
"2019-04-25T10:34:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,1000000
"2019-04-25T10:35:00+08:00",,,,,
"2019-04-25T10:36:00+08:00",,,,,
"2019-04-25T10:37:00+08:00",0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7599999904632568,40000
"2019-04-25T10:38:00+08:00",,,,,
"2019-04-25T10:39:00+08:00",,,,,
"2019-04-25T10:40:00+08:00",,,,,
"2019-04-25T10:41:00+08:00",,,,,
"2019-04-25T10:42:00+08:00",,,,,
"2019-04-25T10:43:00+08:00",,,,,
"2019-04-25T10:44:00+08:00",,,,,
